Timestamp,Anlaşılırlık,Doğallık,Anlaşılırlık,Doğallık,Anlaşılırlık,Doğallık,Anlaşılır,Doğallık,Anlaşılırlık,Doğallık,Anlaşılır,Doğallık,Anlaşılır,Doğallık,Anlaşılır,Doğallık,Anlaşılır,Doğal,Anlaşılır,Doğal
5/20/2022 12:19:24,3,3,3,3,3,3,3,3,2,3,3,3,4,4,2,3,4,3,2,2
5/20/2022 12:36:50,5,4,2,3,4,4,4,3,4,3,5,3,4,3,3,3,2,2,2,3
5/20/2022 12:45:53,4,3,3,3,3,3,4,3,3,2,4,3,3,4,3,3,2,3,3,3
5/20/2022 13:37:59,5,5,4,2,5,4,4,2,5,2,5,5,5,5,4,2,3,2,5,5
5/20/2022 16:19:23,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,4,5,4,5
5/20/2022 16:37:18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5/20/2022 17:15:05,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5/20/2022 17:32:50,3,3,3,3,4,4,4,4,2,3,4,4,3,3,3,3,2,2,2,2
5/21/2022 6:35:45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5/21/2022 6:46:16,4,4,3,3,5,5,5,5,3,3,5,5,5,5,4,4,4,4,4,4
5/21/2022 7:38:39,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,4,4,4
5/21/2022 16:31:39,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1
AVERAGE,4.333333333,3.833333333,3.833333333,3.416666667,4.25,3.916666667,4.166666667,3.5,3.75,3.25,4.5,3.916666667,4.333333333,4,3.833333333,3.416666667,3.666666667,3.333333333,3.75,3.583333333
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Intelligibility,Naturalness,#Participants,,,,,,,,,,,,,,,,,
,4.041666667,3.616666667,13,,,,,,,,,,,,,,,,,
